rule,ruleName,type
archive\.scottish\.parliament\.uk/business/committees/tram-one-bill,Edinburgh Tram (Line One) Bill,NA
archive\.scottish\.parliament\.uk/business/committees/tram-two-bill,Edinburgh Tram (Line Two) Bill,NA
(?<filter>parliament\.uk/edm/(\d{4}-\d{2})),{1} Session,Date
(?<filter>parliament\.uk/documents/education),Education,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/education,Education,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/education-and-employment-committee-,Education and Employment Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/education-and-skills-committee-,Education and Skills Committee,NA
publications\.parliament\.uk/.+/cmeduc,Education Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/education-committee,Education Committee,NA
parliament\.uk/documents/commons-committees/Education,Education Committee,NA
(?<filter>commonsed\.blog\.parliament\.uk),Education Committee blog,NA
archive\.scottish\.parliament\.uk/s3/committees/ellc,"Education, Lifelong Learning and Culture",NA
(?<filter>electionresults\.parliament\.uk),election results,NA
parliament\.uk/about/how/elections-and-voting,Elections and voting,NA
(?<filter>emergency\.parliament\.uk),Emergency,NA
archive\.scottish\.parliament\.uk/s3/committees/endLifeAsstBill,End of Life Assistance (Scotland) Bill,NA
